ì˙ït,ëÃèd,BMI,éâñb
2021.01.22,73,24.39,21.5
2021.01.23,71,23.72,21.6
2021.01.24,71,23.72,21.5
2021.01.25,70.6,23.59,21.299
2021.01.26,70.7,23.62,21.299
2021.01.27,70.9,23.69,21.5
2021.01.28,71.1,23.76,21.6
2021.01.29,71.1,23.76,21.6
2021.01.30,70.8,23.66,21.399
2021.01.31,70.7,23.62,21.299
2021.02.01,70.8,23.66,21.399
2021.02.02,70.4,23.52,21.2
2021.02.03,70.6,23.59,21.299
2021.02.04,70.4,23.52,21.2
2021.02.05,70.5,23.56,21.299
2021.02.06,70.7,23.62,21.299
2021.02.07,69.9,23.36,20.899
2021.02.08,70.1,23.42,21
